word	attestation_count	sources
ABSOLUTISERAI	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERAIS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERAIT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERAS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERENT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISEREZ	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERIEZ	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERIONS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERONS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISERONT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISES	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISEZ	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISIEZ	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISIONS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISONS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABU	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABUSEUSE	3	Lefff 3.4 ; Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABUSEUSES	3	Lefff 3.4 ; Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACARIDE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACARIDES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACATALASEMIE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACATALASEMIES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACATENE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACATENES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACATHISTE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACATHISTES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCALMIR	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCALMIT	2	Unitex DELA français ; Lexique 3.83
ACCAPARATION	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACCAPARATIONS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACCIDENTOGENE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCIDENTOGENES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCIPIENS	2	Lefff 3.4 ; Unitex DELA français
ACCOMMODAGE	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACCOMMODAGES	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACCRETE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCRETEE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCRETEES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACCRETES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACETABULUM	2	Unitex DELA français ; Lexique 3.83
ACETALISA	2	Lefff 3.4 ; Unitex DELA français
ACETALISAI	2	Lefff 3.4 ; Unitex DELA français
ACETALISAIENT	2	Lefff 3.4 ; Unitex DELA français
ACETALISAIS	2	Lefff 3.4 ; Unitex DELA français
ACETALISAIT	2	Lefff 3.4 ; Unitex DELA français
ACETALISAMES	2	Lefff 3.4 ; Unitex DELA français
ACETALISANT	2	Lefff 3.4 ; Unitex DELA français
ACETALISAS	2	Lefff 3.4 ; Unitex DELA français
ACETALISASSE	2	Lefff 3.4 ; Unitex DELA français
ACETALISASSENT	2	Lefff 3.4 ; Unitex DELA français
ACETALISASSES	2	Lefff 3.4 ; Unitex DELA français
ACETALISASSIEZ	2	Lefff 3.4 ; Unitex DELA français
ACETALISASSIONS	2	Lefff 3.4 ; Unitex DELA français
ACETALISAT	2	Lefff 3.4 ; Unitex DELA français
ACETALISATES	2	Lefff 3.4 ; Unitex DELA français
ACETALISE	2	Lefff 3.4 ; Unitex DELA français
ACETALISEE	2	Lefff 3.4 ; Unitex DELA français
ACETALISEES	2	Lefff 3.4 ; Unitex DELA français
ACETALISENT	2	Lefff 3.4 ; Unitex DELA français
ACETALISER	2	Lefff 3.4 ; Unitex DELA français
ACETALISERA	2	Lefff 3.4 ; Unitex DELA français
ACETALISERAI	2	Lefff 3.4 ; Unitex DELA français
ACETALISERAIENT	2	Lefff 3.4 ; Unitex DELA français
ACETALISERAIS	2	Lefff 3.4 ; Unitex DELA français
ACETALISERAIT	2	Lefff 3.4 ; Unitex DELA français
ACETALISERAS	2	Lefff 3.4 ; Unitex DELA français
ACETALISERENT	2	Lefff 3.4 ; Unitex DELA français
ACETALISEREZ	2	Lefff 3.4 ; Unitex DELA français
ACETALISERIEZ	2	Lefff 3.4 ; Unitex DELA français
ACETALISERIONS	2	Lefff 3.4 ; Unitex DELA français
ACETALISERONS	2	Lefff 3.4 ; Unitex DELA français
ACETALISERONT	2	Lefff 3.4 ; Unitex DELA français
ACETALISES	2	Lefff 3.4 ; Unitex DELA français
ACETALISEZ	2	Lefff 3.4 ; Unitex DELA français
ACETALISIEZ	2	Lefff 3.4 ; Unitex DELA français
ACETALISIONS	2	Lefff 3.4 ; Unitex DELA français
ACETALISONS	2	Lefff 3.4 ; Unitex DELA français
ACETONIQUE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACETONIQUES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACETONITRILE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACETONITRILES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACETOPHENONE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACETOPHENONES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACHALER	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
ACHROMATISATION	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACIERISA	2	Lefff 3.4 ; Unitex DELA français
ACIERISAI	2	Lefff 3.4 ; Unitex DELA français
ACIERISAIENT	2	Lefff 3.4 ; Unitex DELA français
ACIERISAIS	2	Lefff 3.4 ; Unitex DELA français
ACIERISAIT	2	Lefff 3.4 ; Unitex DELA français
ACIERISAMES	2	Lefff 3.4 ; Unitex DELA français
ACIERISANT	2	Lefff 3.4 ; Unitex DELA français
ACIERISAS	2	Lefff 3.4 ; Unitex DELA français
ACIERISASSE	2	Lefff 3.4 ; Unitex DELA français
ACIERISASSENT	2	Lefff 3.4 ; Unitex DELA français
ACIERISASSES	2	Lefff 3.4 ; Unitex DELA français
ACIERISASSIEZ	2	Lefff 3.4 ; Unitex DELA français
ACIERISASSIONS	2	Lefff 3.4 ; Unitex DELA français
ACIERISAT	2	Lefff 3.4 ; Unitex DELA français
ACIERISATES	2	Lefff 3.4 ; Unitex DELA français
ACIERISE	2	Lefff 3.4 ; Unitex DELA français
ACIERISEE	2	Lefff 3.4 ; Unitex DELA français
ACIERISEES	2	Lefff 3.4 ; Unitex DELA français
ACIERISENT	2	Lefff 3.4 ; Unitex DELA français
ACIERISER	2	Lefff 3.4 ; Unitex DELA français
ACIERISERA	2	Lefff 3.4 ; Unitex DELA français
ACIERISERAI	2	Lefff 3.4 ; Unitex DELA français
ACIERISERAIENT	2	Lefff 3.4 ; Unitex DELA français
ACIERISERAIS	2	Lefff 3.4 ; Unitex DELA français
ACIERISERAIT	2	Lefff 3.4 ; Unitex DELA français
ACIERISERAS	2	Lefff 3.4 ; Unitex DELA français
ACIERISERENT	2	Lefff 3.4 ; Unitex DELA français
ACIERISEREZ	2	Lefff 3.4 ; Unitex DELA français
ACIERISERIEZ	2	Lefff 3.4 ; Unitex DELA français
ACIERISERIONS	2	Lefff 3.4 ; Unitex DELA français
ACIERISERONS	2	Lefff 3.4 ; Unitex DELA français
ACIERISERONT	2	Lefff 3.4 ; Unitex DELA français
ACIERISES	2	Lefff 3.4 ; Unitex DELA français
ACIERISEZ	2	Lefff 3.4 ; Unitex DELA français
ACIERISIEZ	2	Lefff 3.4 ; Unitex DELA français
ACIERISIONS	2	Lefff 3.4 ; Unitex DELA français
ACIERISONS	2	Lefff 3.4 ; Unitex DELA français
ACOELOMATE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACOELOMATES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACOUSMIE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACOUSMIES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACRODERMATITE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACRODERMATITES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACROPARESTHESIE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACTINISA	2	Lefff 3.4 ; Unitex DELA français
ACTINISAI	2	Lefff 3.4 ; Unitex DELA français
ACTINISAIENT	2	Lefff 3.4 ; Unitex DELA français
ACTINISAIS	2	Lefff 3.4 ; Unitex DELA français
ACTINISAIT	2	Lefff 3.4 ; Unitex DELA français
ACTINISAMES	2	Lefff 3.4 ; Unitex DELA français
ACTINISANT	2	Lefff 3.4 ; Unitex DELA français
ACTINISAS	2	Lefff 3.4 ; Unitex DELA français
ACTINISASSE	2	Lefff 3.4 ; Unitex DELA français
ACTINISASSENT	2	Lefff 3.4 ; Unitex DELA français
ACTINISASSES	2	Lefff 3.4 ; Unitex DELA français
ACTINISASSIEZ	2	Lefff 3.4 ; Unitex DELA français
ACTINISASSIONS	2	Lefff 3.4 ; Unitex DELA français
ACTINISAT	2	Lefff 3.4 ; Unitex DELA français
ACTINISATES	2	Lefff 3.4 ; Unitex DELA français
ACTINISE	2	Lefff 3.4 ; Unitex DELA français
ACTINISEE	2	Lefff 3.4 ; Unitex DELA français
ACTINISEES	2	Lefff 3.4 ; Unitex DELA français
ACTINISENT	2	Lefff 3.4 ; Unitex DELA français
ACTINISER	2	Lefff 3.4 ; Unitex DELA français
ACTINISERA	2	Lefff 3.4 ; Unitex DELA français
ACTINISERAI	2	Lefff 3.4 ; Unitex DELA français
ACTINISERAIENT	2	Lefff 3.4 ; Unitex DELA français
ACTINISERAIS	2	Lefff 3.4 ; Unitex DELA français
ACTINISERAIT	2	Lefff 3.4 ; Unitex DELA français
ACTINISERAS	2	Lefff 3.4 ; Unitex DELA français
ACTINISERENT	2	Lefff 3.4 ; Unitex DELA français
ACTINISEREZ	2	Lefff 3.4 ; Unitex DELA français
ACTINISERIEZ	2	Lefff 3.4 ; Unitex DELA français
ACTINISERIONS	2	Lefff 3.4 ; Unitex DELA français
ACTINISERONS	2	Lefff 3.4 ; Unitex DELA français
ACTINISERONT	2	Lefff 3.4 ; Unitex DELA français
ACTINISES	2	Lefff 3.4 ; Unitex DELA français
ACTINISEZ	2	Lefff 3.4 ; Unitex DELA français
ACTINISIEZ	2	Lefff 3.4 ; Unitex DELA français
ACTINISIONS	2	Lefff 3.4 ; Unitex DELA français
ACTINISONS	2	Lefff 3.4 ; Unitex DELA français
ACTINOBACILLOSE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACTIONNISME	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACTIONNISMES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ACTU	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACTUS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ACUMEN	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
ADA	2	Unitex DELA français ; Lexique 3.83
ADAGIETTO	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADAGIETTOS	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADDENDUMS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ADDICTOLOGUE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADDICTOLOGUES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADENOHYPOPHYSE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADENOHYPOPHYSES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADIMENSIONNEL	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADIMENSIONNELLE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADIMENSIONNELS	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADIPOCYTE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADIPOCYTES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADN	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ADONIES	2	Unitex DELA français ; Lexique 3.83
ADORNEMENT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ADORNEMENTS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ADP	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
ADSL	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
AEGYRINE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEGYRINES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AERAULIQUE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AERAULIQUES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AERENCHYME	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AERENCHYMES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROBIQUE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROBIQUES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROCABLE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROCABLES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROCOLIE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROCOLIES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROFREINAGE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROFREINAGES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROGENERATEUR	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROGENERATEURS	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROMARITIME	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROMARITIMES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROMOBILE	3	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AEROMOBILES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AEROPATHIE	3	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
AEROPATHIES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
AESCHNIDE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
